batchId,runId,title,command,status,runType,userName,userId,projectOwnerName,projectOwnerId,projectName,projectId,runDurationSec,hardwareTier,hardwareTierCostCurrency,hardwareTierCostAmount,queuedTime,startTime,endTime,totalCostCurrency,totalCostAmount,computeClusterDetails
1642693556727,61e98395c3e1a1149e23993d,domino-bjornr's RStudio session,[RStudio session ],Stopped,Workspace,domino-bjornr,61dd62e7e64a6b517bb8dd3c,domino-bjornr,61dd62e7e64a6b517bb8dd3c,quick-start,61dd62e9e64a6b517bb8dd3e,11.668,small-k8s,USD,0,2022-01-20T15:45:25.627Z,2022-01-20T15:45:45.059Z,2022-01-20T15:45:56.727Z,USD,0,
1642694128345,61e983b3c3e1a1149e239944,"domino-bjornr's Jupyter (Python, R, Julia) session","[Jupyter (Python, R, Julia) session ]",Stopped,Workspace,domino-bjornr,61dd62e7e64a6b517bb8dd3c,domino-bjornr,61dd62e7e64a6b517bb8dd3c,quick-start,61dd62e9e64a6b517bb8dd3e,498.043,small-k8s,USD,0,2022-01-20T15:45:55.576Z,2022-01-20T15:47:10.302Z,2022-01-20T15:55:28.345Z,USD,0,
1642707978133,61e70f73e64a6b517bb8e6e4,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,175114.729,small-k8s,USD,0,2022-01-18T19:05:23.599Z,2022-01-18T19:07:43.404Z,2022-01-20T19:46:18.133Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642709794355,61e9bc23c3e1a1149e239989,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,1656.462,small-k8s,USD,0,2022-01-20T19:46:43.652Z,2022-01-20T19:48:57.893Z,2022-01-20T20:16:34.355Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642712104441,61e9c325c3e1a1149e2399a6,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,2137.84,small-k8s,USD,0,2022-01-20T20:16:37.285Z,2022-01-20T20:19:26.601Z,2022-01-20T20:55:04.441Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642779276028,61eac3e3c3e1a1149e2399e1,ray-test,[JupyterLab session ],Error,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,0.0,small-k8s,USD,0,2022-01-21T14:32:03.585Z,,2022-01-21T15:34:36.028Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642779936021,61ead035c3e1a1149e2399f1,ray-tune,[JupyterLab session ],Error,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,0.0,small-k8s,USD,0,2022-01-21T15:24:37.854Z,,2022-01-21T15:45:36.021Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1642987881580,61ead326c3e1a1149e2399f9,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,208426.798,small-k8s,USD,0,2022-01-21T15:37:10.121Z,2022-01-21T15:37:34.782Z,2022-01-24T01:31:21.580Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1643048835230,61ee0174c3e1a1149e239a1d,ray-test,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,tune-hpo,61ddaf75e64a6b517bb8dd85,60908.081,small-k8s,USD,0,2022-01-24T01:31:32.793Z,2022-01-24T01:32:07.149Z,2022-01-24T18:27:15.230Z,USD,0,"{'computeClusterType': 'Ray', 'masterHardwareTierId': 'medium-k8s', 'masterHardwareTierCostPerMinute': 0, 'workerCount': 2, 'workerHardwareTierId': 'medium-k8s', 'workerHardwareTierCostPerMinute': 0}"
1643139042439,61f04b63c3e1a1149e23a12b,integration-test's JupyterLab session,[JupyterLab session ],Stopped,Workspace,integration-test,61ae25cc2044e30af371ee28,integration-test,61ae25cc2044e30af371ee28,quick-start,61ae25cd2044e30af371ee2a,1117.033,small-k8s,USD,0,2022-01-25T19:11:31.720Z,2022-01-25T19:12:05.406Z,2022-01-25T19:30:42.439Z,USD,0,
